"";"Country";"MScore2019all";"MScore2015all";"MScore2011all";"MScore2007all";"MScore2003all";"MScore1995all";"MScore2019girls";"MScore2019boys";"MScore2015girls";"MScore2015boys";"MScore2011girls";"MScore2011boys";"MScore2007girls";"MScore2007boys";"MScore2003girls";"MScore2003boys";"MScore1995girls";"MScore1995boys";"SScore2019all";"SScore2015all";"SScore2011all";"SScore2007all";"SScore2003all";"SScore1995all";"SScore2019girls";"SScore2019boys";"SScore2015girls";"SScore2015boys";"SScore2011girls";"SScore2011boys";"SScore2007girls";"SScore2007boys";"SScore2003girls";"SScore2003boys";"SScore1995girls";"SScore1995boys"
"1";"Armenia";498;481;452;0;456;0;499;497;482;480;454;451;0;0;462;450;0;0;466;444;416;0;437;0;471;462;451;437;419;414;0;0;441;432;0;0
"2";"Australia";516;517;516;516;499;495;511;521;513;522;513;519;513;519;497;500;493;496;533;524;516;527;521;521;533;532;524;523;516;516;525;530;522;519;519;524
"3";"Austria";539;0;508;505;0;531;535;543;0;0;504;513;498;512;0;0;525;536;522;0;532;526;0;538;519;525;0;0;525;538;519;532;0;0;530;545
"4";"Azerbaijan";515;0;463;0;0;0;517;514;0;0;466;460;0;0;0;0;0;0;427;0;438;0;0;0;429;425;0;0;442;434;0;0;0;0;0;0
"5";"Bahrain";480;451;436;0;0;0;482;477;459;443;440;432;0;0;0;0;0;0;493;459;449;0;0;0;510;476;478;439;461;438;0;0;0;0;0;0
"6";"Belgium (Flemish)";532;546;549;0;551;0;527;538;543;549;545;553;0;0;549;552;0;0;501;512;509;0;518;0;499;503;512;511;503;514;0;0;518;519;0;0
"7";"Bulgaria";515;524;0;0;0;0;514;516;527;522;0;0;0;0;0;0;0;0;521;536;0;0;0;0;525;518;540;532;0;0;0;0;0;0;0;0
"8";"Canada";512;511;0;0;0;0;502;521;506;515;0;0;0;0;0;0;0;0;523;525;0;0;0;0;520;526;526;524;0;0;0;0;0;0;0;0
"9";"Chile";441;459;462;0;0;0;437;445;458;459;457;466;0;0;0;0;0;0;469;478;480;0;0;0;466;472;477;478;474;486;0;0;0;0;0;0
"10";"Chinese Taipei";599;597;591;576;564;0;597;601;594;599;592;590;575;577;564;564;0;0;558;555;552;557;551;0;557;559;551;560;548;555;556;558;548;555;0;0
"11";"Croatia";509;502;490;0;0;0;504;515;496;508;485;495;0;0;0;0;0;0;524;533;516;0;0;0;524;524;532;534;514;518;0;0;0;0;0;0
"12";"Cyprus";532;523;0;0;510;475;523;542;520;526;0;0;0;0;505;514;471;479;511;481;0;0;480;450;509;514;481;481;0;0;0;0;477;484;445;455
"13";"Czech Republic";533;528;511;486;0;541;527;538;525;532;505;516;483;489;0;0;538;544;534;534;536;515;0;532;529;538;530;538;529;544;511;518;0;0;524;541
"14";"Denmark";525;539;537;523;0;0;521;528;536;542;534;540;520;526;0;0;0;0;522;527;528;517;0;0;523;522;525;529;527;529;514;520;0;0;0;0
"15";"England";556;546;542;541;531;484;552;560;543;549;541;544;541;542;530;532;480;488;537;536;529;542;540;528;537;537;536;536;529;528;543;540;542;538;525;530
"16";"Finland";532;535;545;0;0;0;531;533;540;531;542;549;0;0;0;0;0;0;555;554;570;0;0;0;557;552;560;548;570;570;0;0;0;0;0;0
"17";"France";485;488;0;0;0;0;478;491;485;491;0;0;0;0;0;0;0;0;488;487;0;0;0;0;489;487;487;487;0;0;0;0;0;0;0;0
"18";"Georgia";482;463;450;438;0;0;478;486;465;461;454;447;440;437;0;0;0;0;454;451;455;418;0;0;452;457;453;449;459;451;423;413;0;0;0;0
"19";"Germany";521;522;528;525;0;0;516;526;520;523;523;532;519;531;0;0;0;0;518;528;528;528;0;0;516;520;527;529;522;534;520;535;0;0;0;0
"20";"Hong Kong SAR";602;615;602;607;575;557;599;604;609;619;598;604;605;609;575;575;558;557;531;557;535;554;542;508;531;531;551;561;532;538;553;556;544;541;501;515
"21";"Hungary";523;529;515;510;529;521;518;529;526;532;514;517;508;511;527;530;519;524;529;542;534;536;530;508;526;533;538;546;532;537;535;538;527;533;501;515
"22";"Iran, Islamic Rep. of";443;431;431;402;389;387;439;447;437;426;431;431;409;396;394;386;379;394;441;421;453;436;414;380;440;442;427;415;452;454;443;429;426;406;377;383
"23";"Ireland";548;547;527;0;0;523;545;552;545;549;526;529;0;0;0;0;525;521;528;529;516;0;0;515;526;530;526;531;516;516;0;0;0;0;513;516
"24";"Italy";515;507;508;507;503;0;509;521;497;517;503;512;499;514;498;507;0;0;510;516;524;535;516;0;506;514;512;521;520;528;529;541;514;517;0;0
"25";"Japan";593;593;585;568;565;567;593;593;593;593;584;587;568;568;563;566;563;571;562;569;559;548;543;553;565;559;567;571;556;561;548;547;542;545;547;559
"26";"Kazakhstan";512;0;501;0;0;0;512;512;0;0;498;504;0;0;0;0;0;0;494;0;495;0;0;0;497;491;0;0;490;498;0;0;0;0;0;0
"27";"Korea, Rep. of";600;608;605;0;0;581;597;602;604;612;601;608;0;0;0;0;576;586;588;589;587;0;0;576;583;592;584;595;583;590;0;0;0;0;569;582
"28";"Kuwait";383;353;0;0;0;0;387;380;359;347;0;0;0;0;0;0;0;0;392;337;0;0;0;0;413;374;352;322;0;0;0;0;0;0;0;0
"29";"Latvia";546;0;0;0;536;0;544;548;0;0;0;0;0;0;536;536;0;0;542;0;0;0;532;0;544;540;0;0;0;0;0;0;534;529;0;0
"30";"Lithuania";542;535;534;530;534;0;540;544;537;534;533;534;530;530;535;536;0;0;538;528;515;514;512;0;540;536;529;526;514;515;516;512;513;513;0;0
"31";"Malta";509;0;496;0;0;0;505;513;0;0;492;499;0;0;0;0;0;0;496;0;446;0;0;0;493;498;0;0;443;449;0;0;0;0;0;0
"32";"Morocco";383;377;335;0;0;0;385;382;378;377;338;331;0;0;0;0;0;0;374;352;264;0;0;0;379;370;358;347;268;259;0;0;0;0;0;0
"33";"Netherlands";538;530;540;535;540;549;533;542;526;534;536;544;530;540;537;543;543;556;518;517;531;523;525;530;519;518;517;517;526;537;518;528;521;529;518;544
"34";"New Zealand";487;491;486;492;493;469;484;490;489;492;486;486;492;493;493;494;474;465;503;506;497;504;520;505;505;500;507;504;496;497;506;502;523;517;511;499
"35";"Northern Ireland";566;570;562;0;0;0;564;568;569;571;562;563;0;0;0;0;0;0;518;520;517;0;0;0;519;518;520;520;517;516;0;0;0;0;0;0
"36";"Norway (5)";543;549;0;0;0;0;540;545;551;547;0;0;0;0;0;0;0;0;539;538;0;0;0;0;541;538;538;537;0;0;0;0;0;0;0;0
"37";"Oman";431;425;385;0;0;0;438;424;436;415;398;372;0;0;0;0;0;0;435;431;377;0;0;0;447;423;447;415;394;360;0;0;0;0;0;0
"38";"Philippines";297;0;0;0;358;0;315;280;0;0;0;0;0;0;364;352;0;0;249;0;0;0;332;0;261;238;0;0;0;0;0;0;339;324;0;0
"39";"Poland";520;535;0;0;0;0;516;524;534;536;0;0;0;0;0;0;0;0;531;547;0;0;0;0;532;529;548;546;0;0;0;0;0;0;0;0
"40";"Portugal";525;541;532;0;0;442;516;533;536;547;529;535;0;0;0;0;440;444;504;508;522;0;0;452;501;506;504;512;519;524;0;0;0;0;449;454
"41";"Qatar";449;439;413;0;0;0;450;449;440;438;420;407;0;0;0;0;0;0;449;436;394;0;0;0;456;443;448;424;408;382;0;0;0;0;0;0
"42";"Russian Federation";567;564;542;544;532;0;563;571;564;564;543;542;548;540;530;534;0;0;567;567;552;546;526;0;567;568;567;567;553;552;548;544;527;526;0;0
"43";"Saudi Arabia";398;383;410;0;0;0;412;385;405;363;418;402;0;0;0;0;0;0;402;390;429;0;0;0;434;373;431;352;453;405;0;0;0;0;0;0
"44";"Serbia";508;518;516;0;0;0;509;507;520;517;513;519;0;0;0;0;0;0;517;525;516;0;0;0;521;513;526;523;514;517;0;0;0;0;0;0
"45";"Singapore";625;618;606;599;594;590;621;629;620;616;608;604;603;596;599;590;595;586;595;590;583;587;565;523;591;598;591;590;581;585;587;587;565;565;521;526
"46";"Slovak Republic";510;498;507;496;0;0;503;516;493;504;503;511;493;499;0;0;0;0;521;520;532;526;0;0;518;523;516;524;528;536;521;530;0;0;0;0
"47";"South Africa (5)";374;376;0;0;0;0;384;364;384;368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"48";"Spain";502;505;482;0;0;0;495;509;499;511;477;488;0;0;0;0;0;0;511;518;505;0;0;0;511;512;515;521;500;510;0;0;0;0;0;0
"49";"Sweden";521;519;504;503;0;0;518;525;519;518;501;506;499;506;0;0;0;0;537;540;533;525;0;0;538;536;544;536;532;535;526;524;0;0;0;0
"50";"United Arab Emirates";481;452;434;0;0;0;477;486;453;450;438;430;0;0;0;0;0;0;473;451;428;0;0;0;475;471;459;444;437;419;0;0;0;0;0;0
"51";"United States";535;539;541;529;518;518;529;540;536;543;536;545;526;532;514;522;516;520;539;546;544;539;536;542;536;541;544;548;539;549;536;541;533;538;536;548
"52";"Ontario, Canada";512;512;518;512;511;489;502;521;509;516;515;521;509;514;505;517;487;491;524;530;528;536;540;516;522;526;533;528;525;530;532;539;537;543;513;518
"53";"Quebec, Canada";532;536;533;519;506;550;523;541;531;541;527;538;515;524;502;509;548;552;522;525;516;517;500;529;519;525;525;524;512;520;516;518;501;500;524;532
"54";"Abu Dhabi, UAE";441;419;417;0;0;0;438;443;422;417;425;409;0;0;0;0;0;0;418;415;411;0;0;0;422;413;423;408;427;396;0;0;0;0;0;0
"55";"Dubai, UAE";544;511;468;444;0;0;540;548;510;512;466;470;452;438;0;0;0;0;545;518;461;460;0;0;545;544;524;512;462;461;473;448;0;0;0;0
