"","Country","Percentage","Score","Gender"
"1","Albania",49,493,"Girls"
"2","Albania",51,495,"Boys"
"3","Armenia",48,499,"Girls"
"4","Armenia",52,497,"Boys"
"5","Australia",49,511,"Girls"
"6","Australia",51,521,"Boys"
"7","Austria",49,535,"Girls"
"8","Austria",51,543,"Boys"
"9","Azerbaijan",47,517,"Girls"
"10","Azerbaijan",53,514,"Boys"
"11","Bahrain",49,482,"Girls"
"12","Bahrain",51,477,"Boys"
"13","Belgium (Flemish)",51,527,"Girls"
"14","Belgium (Flemish)",49,538,"Boys"
"15","Bosnia and Herzegovina",49,447,"Girls"
"16","Bosnia and Herzegovina",51,456,"Boys"
"17","Bulgaria",48,514,"Girls"
"18","Bulgaria",52,516,"Boys"
"19","Canada",49,502,"Girls"
"20","Canada",51,521,"Boys"
"21","Chile",50,437,"Girls"
"22","Chile",50,445,"Boys"
"23","Chinese Taipei",48,597,"Girls"
"24","Chinese Taipei",52,601,"Boys"
"25","Croatia",50,504,"Girls"
"26","Croatia",50,515,"Boys"
"27","Cyprus",52,523,"Girls"
"28","Cyprus",48,542,"Boys"
"29","Czech Republic",49,527,"Girls"
"30","Czech Republic",51,538,"Boys"
"31","Denmark",50,521,"Girls"
"32","Denmark",50,528,"Boys"
"33","England",50,552,"Girls"
"34","England",50,560,"Boys"
"35","Finland",49,531,"Girls"
"36","Finland",51,533,"Boys"
"37","France",49,478,"Girls"
"38","France",51,491,"Boys"
"39","Georgia",49,478,"Girls"
"40","Georgia",51,486,"Boys"
"41","Germany",50,516,"Girls"
"42","Germany",50,526,"Boys"
"43","Hong Kong SAR",46,599,"Girls"
"44","Hong Kong SAR",54,604,"Boys"
"45","Hungary",48,518,"Girls"
"46","Hungary",52,529,"Boys"
"47","International Average",49,499,"Girls"
"48","International Average",51,503,"Boys"
"49","Iran, Islamic Rep. of",49,439,"Girls"
"50","Iran, Islamic Rep. of",51,447,"Boys"
"51","Ireland",50,545,"Girls"
"52","Ireland",50,552,"Boys"
"53","Italy",50,509,"Girls"
"54","Italy",50,521,"Boys"
"55","Japan",48,593,"Girls"
"56","Japan",52,593,"Boys"
"57","Kazakhstan",49,512,"Girls"
"58","Kazakhstan",51,512,"Boys"
"59","Korea, Rep. of",47,597,"Girls"
"60","Korea, Rep. of",53,602,"Boys"
"61","Kosovo",49,442,"Girls"
"62","Kosovo",51,447,"Boys"
"63","Kuwait",47,387,"Girls"
"64","Kuwait",53,380,"Boys"
"65","Latvia",50,544,"Girls"
"66","Latvia",50,548,"Boys"
"67","Lithuania",49,540,"Girls"
"68","Lithuania",51,544,"Boys"
"69","Malta",49,505,"Girls"
"70","Malta",51,513,"Boys"
"71","Montenegro",47,450,"Girls"
"72","Montenegro",53,455,"Boys"
"73","Morocco",49,385,"Girls"
"74","Morocco",51,382,"Boys"
"75","Netherlands",49,533,"Girls"
"76","Netherlands",51,542,"Boys"
"77","New Zealand",48,484,"Girls"
"78","New Zealand",52,490,"Boys"
"79","North Macedonia",48,472,"Girls"
"80","North Macedonia",52,472,"Boys"
"81","Northern Ireland",50,564,"Girls"
"82","Northern Ireland",50,568,"Boys"
"83","Norway",48,540,"Girls"
"84","Norway",52,545,"Boys"
"85","Oman",50,438,"Girls"
"86","Oman",50,424,"Boys"
"87","Pakistan",45,338,"Girls"
"88","Pakistan",55,319,"Boys"
"89","Philippines",48,315,"Girls"
"90","Philippines",52,280,"Boys"
"91","Poland",49,516,"Girls"
"92","Poland",51,524,"Boys"
"93","Portugal",48,516,"Girls"
"94","Portugal",52,533,"Boys"
"95","Qatar",50,450,"Girls"
"96","Qatar",50,449,"Boys"
"97","Russian Federation",51,563,"Girls"
"98","Russian Federation",49,571,"Boys"
"99","Saudi Arabia",48,412,"Girls"
"100","Saudi Arabia",52,385,"Boys"
"101","Serbia",50,509,"Girls"
"102","Serbia",50,507,"Boys"
"103","Singapore",49,621,"Girls"
"104","Singapore",51,629,"Boys"
"105","Slovak Republic",49,503,"Girls"
"106","Slovak Republic",51,516,"Boys"
"107","South Africa",50,384,"Girls"
"108","South Africa",50,364,"Boys"
"109","Spain",47,495,"Girls"
"110","Spain",53,509,"Boys"
"111","Sweden",50,518,"Girls"
"112","Sweden",50,525,"Boys"
"113","Turkey",52,521,"Girls"
"114","Turkey",48,525,"Boys"
"115","United Arab Emirates",50,477,"Girls"
"116","United Arab Emirates",50,486,"Boys"
"117","United States",49,529,"Girls"
"118","United States",51,540,"Boys"
