"Year","Knowing","Applying","Reasoning","Country"
"2019",497,501,483,"Armenia"
"2015",494,475,458,"Armenia"
"2011",461,446,442,"Armenia"
"2019",509,516,522,"Australia"
"2015",509,521,523,"Australia"
"2011",516,519,513,"Australia"
"2007",511,522,516,"Australia"
"2019",540,538,537,"Austria"
"2011",507,506,513,"Austria"
"2007",504,505,506,"Austria"
"2019",513,519,506,"Azerbaijan"
"2011",473,457,445,"Azerbaijan"
"2019",478,479,479,"Bahrain"
"2015",453,450,447,"Bahrain"
"2011",438,431,439,"Bahrain"
"2019",546,526,530,"Belgium (Flemish)"
"2015",554,544,536,"Belgium (Flemish)"
"2011",564,546,532,"Belgium (Flemish)"
"2019",511,518,509,"Bulgaria"
"2015",527,523,521,"Bulgaria"
"2019",506,513,513,"Canada"
"2015",505,510,521,"Canada"
"2019",427,446,448,"Chile"
"2015",449,462,466,"Chile"
"2011",455,463,469,"Chile"
"2019",622,600,576,"Chinese Taipei"
"2015",620,593,576,"Chinese Taipei"
"2011",599,593,577,"Chinese Taipei"
"2007",586,574,571,"Chinese Taipei"
"2019",508,509,510,"Croatia"
"2015",502,499,507,"Croatia"
"2011",495,484,492,"Croatia"
"2019",530,536,526,"Cyprus"
"2015",519,529,519,"Cyprus"
"2019",528,531,541,"Czech Republic"
"2015",519,528,544,"Czech Republic"
"2011",502,512,523,"Czech Republic"
"2007",472,493,491,"Czech Republic"
"2019",524,520,535,"Denmark"
"2015",536,538,548,"Denmark"
"2011",531,539,543,"Denmark"
"2007",514,527,525,"Denmark"
"2019",563,553,554,"England"
"2015",554,544,540,"England"
"2011",552,542,531,"England"
"2007",546,542,539,"England"
"2019",531,531,535,"Finland"
"2015",530,536,540,"Finland"
"2011",548,544,546,"Finland"
"2019",488,482,480,"France"
"2015",484,488,491,"France"
"2019",473,490,469,"Georgia"
"2015",466,461,452,"Georgia"
"2011",449,447,450,"Georgia"
"2007",445,430,433,"Georgia"
"2019",523,514,531,"Germany"
"2015",524,515,535,"Germany"
"2011",524,528,532,"Germany"
"2007",515,530,530,"Germany"
"2019",600,606,596,"Hong Kong SAR"
"2015",618,621,600,"Hong Kong SAR"
"2011",619,597,589,"Hong Kong SAR"
"2007",622,606,596,"Hong Kong SAR"
"2019",525,521,522,"Hungary"
"2015",532,526,529,"Hungary"
"2011",519,513,514,"Hungary"
"2007",511,506,510,"Hungary"
"2019",436,450,426,"Iran, Islamic Rep. of"
"2015",429,435,426,"Iran, Islamic Rep. of"
"2011",435,427,423,"Iran, Islamic Rep. of"
"2007",404,397,401,"Iran, Islamic Rep. of"
"2019",550,551,542,"Ireland"
"2015",554,549,535,"Ireland"
"2011",539,529,510,"Ireland"
"2019",515,517,504,"Italy"
"2015",511,504,503,"Italy"
"2011",510,506,505,"Italy"
"2007",512,499,511,"Italy"
"2019",597,593,589,"Japan"
"2015",601,589,595,"Japan"
"2011",590,579,592,"Japan"
"2007",567,570,569,"Japan"
"2019",510,514,507,"Kazakhstan"
"2011",503,499,501,"Kazakhstan"
"2019",612,594,596,"Korea, Rep. of"
"2015",627,595,619,"Korea, Rep. of"
"2011",614,600,603,"Korea, Rep. of"
"2019",535,547,534,"Lithuania"
"2015",532,537,534,"Lithuania"
"2011",525,540,536,"Lithuania"
"2007",520,540,529,"Lithuania"
"2019",510,508,508,"Malta"
"2011",504,497,475,"Malta"
"2019",379,387,380,"Morocco"
"2015",377,375,379,"Morocco"
"2011",320,332,347,"Morocco"
"2019",534,536,546,"Netherlands"
"2015",521,531,543,"Netherlands"
"2011",537,540,543,"Netherlands"
"2007",528,540,537,"Netherlands"
"2019",476,487,501,"New Zealand"
"2015",475,497,504,"New Zealand"
"2011",476,490,490,"New Zealand"
"2007",484,493,502,"New Zealand"
"2019",574,565,558,"Northern Ireland"
"2015",582,575,550,"Northern Ireland"
"2011",580,565,538,"Northern Ireland"
"2019",541,540,551,"Norway (5)"
"2015",544,550,556,"Norway (5)"
"2019",424,434,424,"Oman"
"2015",422,428,420,"Oman"
"2011",380,382,391,"Oman"
"2019",509,521,527,"Poland"
"2015",517,541,546,"Poland"
"2019",523,528,519,"Portugal"
"2015",548,540,532,"Portugal"
"2011",531,534,531,"Portugal"
"2019",447,453,440,"Qatar"
"2015",444,434,431,"Qatar"
"2011",411,411,416,"Qatar"
"2019",555,571,573,"Russian Federation"
"2015",556,566,570,"Russian Federation"
"2011",541,539,548,"Russian Federation"
"2007",539,549,544,"Russian Federation"
"2019",504,509,503,"Serbia"
"2015",513,521,517,"Serbia"
"2011",520,511,514,"Serbia"
"2019",640,626,614,"Singapore"
"2015",631,619,603,"Singapore"
"2011",629,602,588,"Singapore"
"2007",625,597,584,"Singapore"
"2019",502,508,522,"Slovak Republic"
"2015",491,497,515,"Slovak Republic"
"2011",506,505,511,"Slovak Republic"
"2007",491,496,499,"Slovak Republic"
"2019",372,375,370,"South Africa (5)"
"2015",378,377,369,"South Africa (5)"
"2019",499,506,497,"Spain"
"2015",505,505,502,"Spain"
"2011",482,483,483,"Spain"
"2019",515,518,536,"Sweden"
"2015",501,521,542,"Sweden"
"2011",489,507,520,"Sweden"
"2007",483,506,519,"Sweden"
"2019",479,484,474,"United Arab Emirates"
"2015",453,452,445,"United Arab Emirates"
"2011",437,430,434,"United Arab Emirates"
"2019",536,537,524,"United States"
"2015",547,537,531,"United States"
"2011",556,539,525,"United States"
"2007",541,524,525,"United States"
