Data,Przypadki
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,4
2020-03-07,1
2020-03-08,5
2020-03-09,6
2020-03-10,5
2020-03-11,9
2020-03-12,20
2020-03-13,17
2020-03-14,36
2020-03-15,21
2020-03-16,52
2020-03-17,61
2020-03-18,49
2020-03-19,68
2020-03-20,70
2020-03-21,111
2020-03-22,98
2020-03-23,115
2020-03-24,152
2020-03-25,150
2020-03-26,170
2020-03-27,168
2020-03-28,249
2020-03-29,224
2020-03-30,193
2020-03-31,256
2020-04-01,243
2020-04-02,392
2020-04-03,437
2020-04-04,244
2020-04-05,475
2020-04-06,311
2020-04-07,435
2020-04-08,357
2020-04-09,370
2020-04-10,380
2020-04-11,401
2020-04-12,318
2020-04-13,258
2020-04-14,270
2020-04-15,380
2020-04-16,336
2020-04-17,457
2020-04-18,334
2020-04-19,515
2020-04-20,306
2020-04-21,263
2020-04-22,313
2020-04-23,342
2020-04-24,381
2020-04-25,381
2020-04-26,344
2020-04-27,285
2020-04-28,316
2020-04-29,422
2020-04-30,300
2020-05-01,228
2020-05-02,270
2020-05-03,318
2020-05-04,313
2020-05-05,406
2020-05-06,311
2020-05-07,303
2020-05-08,337
2020-05-09,288
2020-05-10,345
2020-05-11,330
2020-05-12,556
2020-05-13,322
2020-05-14,411
2020-05-15,401
2020-05-16,241
2020-05-17,272
2020-05-18,356
2020-05-19,382
2020-05-20,471
2020-05-21,403
2020-05-22,471
2020-05-23,315
2020-05-24,361
2020-05-25,341
2020-05-26,443
2020-05-27,397
2020-05-28,352
2020-05-29,332
2020-05-30,412
2020-05-31,219
2020-06-01,375
2020-06-02,236
2020-06-03,292
2020-06-04,361
2020-06-05,362
2020-06-06,576
2020-06-07,575
2020-06-08,599
2020-06-09,400
2020-06-10,282
2020-06-11,359
2020-06-12,376
2020-06-13,440
2020-06-14,375
2020-06-15,396
2020-06-16,407
2020-06-17,450
2020-06-18,314
2020-06-19,352
2020-06-20,309
2020-06-21,311
2020-06-22,296
2020-06-23,300
2020-06-24,294
2020-06-25,289
2020-06-26,285
2020-06-27,319
2020-06-28,193
2020-06-29,247
2020-06-30,239
2020-07-01,382
2020-07-02,371
2020-07-03,259
2020-07-04,314
2020-07-05,231
2020-07-06,205
2020-07-07,257
2020-07-08,277
2020-07-09,262
2020-07-10,265
2020-07-11,305
2020-07-12,370
2020-07-13,299
2020-07-14,267
2020-07-15,264
2020-07-16,333
2020-07-17,353
2020-07-18,339
2020-07-19,358
2020-07-20,279
2020-07-21,399
2020-07-22,380
2020-07-23,418
2020-07-24,458
2020-07-25,584
2020-07-26,443
2020-07-27,337
2020-07-28,502
2020-07-29,512
2020-07-30,615
2020-07-31,657
2020-08-01,658
2020-08-02,548
2020-08-03,575
2020-08-04,680
2020-08-05,640
2020-08-06,726
2020-08-07,809
2020-08-08,843
2020-08-09,624
2020-08-10,619
2020-08-11,551
2020-08-12,715
2020-08-13,811
2020-08-14,832
2020-08-15,771
2020-08-16,594
2020-08-17,595
2020-08-18,597
2020-08-19,735
2020-08-20,767
2020-08-21,903
2020-08-22,900
2020-08-23,581
2020-08-24,548
2020-08-25,763
2020-08-26,729
2020-08-27,887
2020-08-28,791
2020-08-29,759
2020-08-30,631
2020-08-31,502
2020-09-01,550
2020-09-02,595
2020-09-03,612
2020-09-04,691
2020-09-05,567
2020-09-06,437
2020-09-07,302
2020-09-08,400
2020-09-09,421
2020-09-10,506
2020-09-11,594
2020-09-12,603
2020-09-13,502
2020-09-14,377
2020-09-15,605
2020-09-16,600
2020-09-17,837
2020-09-18,757
2020-09-19,1002
2020-09-20,910
2020-09-21,748
2020-09-22,711
2020-09-23,974
2020-09-24,1136
2020-09-25,1587
2020-09-26,1584
2020-09-27,1350
2020-09-28,1306
2020-09-29,1326
2020-09-30,1552
2020-10-01,1967
2020-10-02,2292
2020-10-03,2367
2020-10-04,1934
2020-10-05,2006
2020-10-06,2236
2020-10-07,3003
2020-10-08,4280
2020-10-09,4739
2020-10-10,5300
2020-10-11,4178
2020-10-12,4394
2020-10-13,5068
2020-10-14,6526
2020-10-15,8099
2020-10-16,7705
2020-10-17,9622
2020-10-18,8536
2020-10-19,7482
2020-10-20,9291
2020-10-21,10040
2020-10-22,12107
2020-10-23,13632
2020-10-24,13628
2020-10-25,11742
2020-10-26,10241
2020-10-27,16300
2020-10-28,18820
2020-10-29,20156
2020-10-30,21629
2020-10-31,21897
2020-11-01,17171
2020-11-02,15578
2020-11-03,19364
2020-11-04,24692
2020-11-05,27143
2020-11-06,27086
2020-11-07,27875
2020-11-08,24785
2020-11-09,21713
2020-11-10,25454
2020-11-11,25221
2020-11-12,22683
2020-11-13,24051
2020-11-14,25571
2020-11-15,21854
2020-11-16,20816
2020-11-17,19152
2020-11-18,19883
2020-11-19,23975
2020-11-20,22464
