Day,lotnisko: (Poland)
2020-03-04,37
2020-03-05,41
2020-03-06,37
2020-03-07,41
2020-03-08,41
2020-03-09,35
2020-03-10,45
2020-03-11,46
2020-03-12,66
2020-03-13,89
2020-03-14,100
2020-03-15,57
2020-03-16,40
2020-03-17,22
2020-03-18,17
2020-03-19,21
2020-03-20,19
2020-03-21,21
2020-03-22,20
2020-03-23,21
2020-03-24,29
2020-03-25,13
2020-03-26,15
2020-03-27,17
2020-03-28,12
2020-03-29,17
2020-03-30,11
2020-03-31,8
2020-04-01,10
2020-04-02,12
2020-04-03,11
2020-04-04,11
2020-04-05,11
2020-04-06,10
2020-04-07,8
2020-04-08,11
2020-04-09,12
2020-04-10,10
2020-04-11,9
2020-04-12,21
2020-04-13,21
2020-04-14,58
2020-04-15,26
2020-04-16,10
2020-04-17,10
2020-04-18,12
2020-04-19,16
2020-04-20,13
2020-04-21,7
2020-04-22,8
2020-04-23,7
2020-04-24,12
2020-04-25,12
2020-04-26,12
2020-04-27,12
2020-04-28,10
2020-04-29,11
2020-04-30,14
2020-05-01,11
2020-05-02,20
2020-05-03,11
2020-05-04,11
2020-05-05,14
2020-05-06,13
2020-05-07,12
2020-05-08,17
2020-05-09,18
2020-05-10,17
2020-05-11,14
2020-05-12,15
2020-05-13,13
2020-05-14,9
2020-05-15,17
2020-05-16,15
2020-05-17,18
2020-05-18,11
2020-05-19,22
2020-05-20,14
2020-05-21,12
2020-05-22,19
2020-05-23,19
2020-05-24,16
2020-05-25,13
2020-05-26,15
2020-05-27,16
2020-05-28,16
2020-05-29,16
2020-05-30,21
2020-05-31,18
2020-06-01,22
2020-06-02,18
2020-06-03,17
2020-06-04,15
2020-06-05,14
2020-06-06,16
2020-06-07,20
2020-06-08,14
2020-06-09,15
2020-06-10,21
2020-06-11,14
2020-06-12,20
2020-06-13,19
2020-06-14,24
2020-06-15,25
2020-06-16,23
2020-06-17,36
2020-06-18,25
2020-06-19,19
2020-06-20,18
2020-06-21,28
2020-06-22,21
2020-06-23,21
2020-06-24,31
2020-06-25,36
2020-06-26,30
2020-06-27,22
2020-06-28,29
2020-06-29,26
2020-06-30,38
2020-07-01,45
2020-07-02,43
2020-07-03,45
2020-07-04,44
2020-07-05,38
2020-07-06,34
2020-07-07,35
2020-07-08,39
2020-07-09,27
2020-07-10,36
2020-07-11,34
2020-07-12,52
2020-07-13,38
2020-07-14,48
2020-07-15,34
2020-07-16,32
2020-07-17,54
2020-07-18,32
2020-07-19,55
2020-07-20,46
2020-07-21,40
2020-07-22,34
2020-07-23,41
2020-07-24,36
2020-07-25,38
2020-07-26,46
2020-07-27,39
2020-07-28,42
2020-07-29,55
2020-07-30,35
2020-07-31,39
2020-08-01,33
2020-08-02,56
2020-08-03,34
2020-08-04,39
2020-08-05,38
2020-08-06,33
2020-08-07,43
2020-08-08,52
2020-08-09,60
2020-08-10,43
2020-08-11,26
2020-08-12,43
2020-08-13,33
2020-08-14,48
2020-08-15,65
2020-08-16,55
2020-08-17,47
2020-08-18,48
2020-08-19,40
2020-08-20,33
2020-08-21,45
2020-08-22,36
2020-08-23,47
2020-08-24,39
2020-08-25,23
2020-08-26,38
2020-08-27,40
2020-08-28,33
2020-08-29,43
2020-08-30,43
2020-08-31,34
2020-09-01,27
2020-09-02,29
2020-09-03,42
2020-09-04,38
2020-09-05,32
2020-09-06,31
2020-09-07,27
2020-09-08,39
2020-09-09,37
2020-09-10,26
2020-09-11,31
2020-09-12,30
2020-09-13,44
2020-09-14,37
2020-09-15,31
2020-09-16,28
2020-09-17,31
2020-09-18,45
2020-09-19,44
2020-09-20,29
2020-09-21,27
2020-09-22,32
2020-09-23,32
2020-09-24,41
2020-09-25,35
2020-09-26,49
2020-09-27,33
2020-09-28,25
2020-09-29,23
2020-09-30,24
2020-10-01,27
2020-10-02,34
2020-10-03,41
2020-10-04,29
2020-10-05,27
2020-10-06,20
2020-10-07,27
2020-10-08,16
2020-10-09,20
2020-10-10,19
2020-10-11,25
2020-10-12,22
2020-10-13,22
2020-10-14,24
2020-10-15,12
2020-10-16,27
2020-10-17,26
2020-10-18,30
2020-10-19,18
2020-10-20,14
2020-10-21,17
2020-10-22,25
2020-10-23,22
2020-10-24,22
2020-10-25,23
2020-10-26,15
2020-10-27,34
2020-10-28,18
2020-10-29,18
2020-10-30,22
2020-10-31,32
2020-11-01,17
2020-11-02,20
2020-11-03,12
2020-11-04,18
2020-11-05,9
2020-11-06,21
2020-11-07,14
2020-11-08,16
2020-11-09,17
2020-11-10,14
2020-11-11,12
2020-11-12,15
2020-11-13,15
2020-11-14,17
2020-11-15,20
2020-11-16,17
2020-11-17,17
2020-11-18,10
2020-11-19,13
